                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.49918,                0.52382,                 1.0879,                0.70806,                0.52292,                0.61525,                0.36505,                 1.7275,                 1.8602,                 2.3683,             0.00032169,             0.00032169,             0.00032169
                    114,                0.49988,                0.53511,                 1.0829,                0.67838,                0.54304,                0.59706,                0.35018,                 1.7808,                 1.8374,                 2.3887,             0.00031816,             0.00031816,             0.00031816
                    115,                0.48386,                0.49344,                 1.0694,                0.72513,                0.57119,                0.62275,                0.37518,                 1.7798,                 1.8397,                 2.4775,             0.00031462,             0.00031462,             0.00031462
                    116,                0.48361,                0.50997,                  1.073,                0.78852,                0.54207,                0.63707,                0.37127,                 1.7621,                 1.9004,                 2.4029,             0.00031109,             0.00031109,             0.00031109
                    117,                0.47805,                0.49919,                 1.0715,                0.79765,                0.55533,                0.62302,                0.37445,                   1.62,                   1.79,                 2.2486,             0.00030756,             0.00030756,             0.00030756
                    118,                0.48993,                0.50237,                  1.074,                0.66261,                 0.5615,                0.61787,                0.37695,                 1.7031,                 1.9724,                 2.2607,             0.00030402,             0.00030402,             0.00030402
                    119,                0.48366,                0.50487,                 1.0677,                0.61827,                0.61081,                0.62765,                0.36177,                 1.7422,                   1.77,                 2.3803,             0.00030049,             0.00030049,             0.00030049
                    120,                 0.4771,                0.48989,                 1.0688,                0.70011,                0.55385,                0.62097,                0.37887,                 1.7608,                 1.7696,                 2.2864,             0.00029695,             0.00029695,             0.00029695
                    121,                0.47604,                0.49551,                 1.0653,                0.83818,                0.52962,                0.64112,                0.38743,                 1.7291,                 1.9505,                 2.3284,             0.00029342,             0.00029342,             0.00029342
                    122,                0.48143,                0.49509,                 1.0622,                 0.7773,                0.52465,                0.64306,                0.38064,                 1.7209,                 1.8277,                 2.4008,             0.00028988,             0.00028988,             0.00028988
                    123,                0.47165,                0.48867,                 1.0605,                0.66481,                0.55557,                0.63123,                0.36845,                 1.8108,                 2.0152,                  2.491,             0.00028635,             0.00028635,             0.00028635
                    124,                0.47546,                0.48114,                 1.0717,                0.72168,                0.50922,                0.60779,                0.37287,                 1.7576,                 1.9728,                 2.4138,             0.00028282,             0.00028282,             0.00028282
                    125,                0.46652,                0.48735,                 1.0652,                0.77816,                0.51885,                0.61733,                0.36286,                 1.7371,                 2.0095,                 2.3916,             0.00027928,             0.00027928,             0.00027928
                    126,                0.45793,                0.47838,                 1.0495,                0.62399,                0.62408,                0.63531,                0.36569,                  1.765,                 1.8784,                  2.418,             0.00027575,             0.00027575,             0.00027575
                    127,                0.45707,                0.46286,                 1.0506,                0.71529,                0.59769,                0.63649,                0.38929,                 1.7587,                 1.9865,                 2.4299,             0.00027221,             0.00027221,             0.00027221
                    128,                0.46027,                0.46435,                 1.0535,                0.82042,                0.53425,                0.62513,                0.36702,                 1.7622,                 1.9133,                 2.3818,             0.00026868,             0.00026868,             0.00026868
                    129,                0.45656,                0.45814,                 1.0466,                0.60422,                 0.6131,                  0.621,                0.36374,                    1.8,                 1.7382,                 2.4627,             0.00026514,             0.00026514,             0.00026514
                    130,                0.45585,                0.46748,                 1.0538,                0.75195,                0.56563,                0.64276,                0.38309,                 1.7469,                 1.8254,                 2.3804,             0.00026161,             0.00026161,             0.00026161
                    131,                0.44706,                0.46034,                 1.0406,                0.74022,                 0.5569,                0.63971,                0.37102,                 1.7494,                  1.914,                 2.3756,             0.00025808,             0.00025808,             0.00025808
                    132,                0.45581,                0.46293,                 1.0483,                0.75989,                0.48726,                0.63407,                 0.3889,                 1.7358,                 1.8508,                 2.3574,             0.00025454,             0.00025454,             0.00025454
                    133,                0.44731,                0.45038,                 1.0469,                0.77341,                0.52826,                0.63481,                0.36421,                 1.8485,                 1.7717,                 2.4944,             0.00025101,             0.00025101,             0.00025101
                    134,                 0.4438,                 0.4449,                 1.0424,                0.75664,                0.52844,                0.62712,                0.35964,                 1.8014,                 1.9565,                 2.5226,             0.00024747,             0.00024747,             0.00024747
                    135,                0.44343,                0.45492,                 1.0475,                0.78362,                0.47805,                0.60202,                0.34731,                 1.7731,                 1.9002,                 2.4645,             0.00024394,             0.00024394,             0.00024394
                    136,                0.43523,                  0.453,                 1.0393,                0.75664,                0.50733,                0.60596,                0.35805,                 1.7201,                 1.8904,                 2.3869,              0.0002404,              0.0002404,              0.0002404
                    137,                0.43066,                 0.4378,                  1.037,                0.76037,                0.49827,                0.60054,                0.35204,                 1.7712,                 2.0101,                 2.4673,             0.00023687,             0.00023687,             0.00023687
                    138,                0.44228,                0.45172,                 1.0411,                0.62242,                0.61294,                0.63323,                0.38602,                 1.7105,                 1.8189,                 2.3807,             0.00023334,             0.00023334,             0.00023334
                    139,                0.42917,                0.43737,                 1.0313,                0.71416,                 0.5561,                0.64836,                0.39099,                  1.706,                 1.8204,                 2.3996,              0.0002298,              0.0002298,              0.0002298
                    140,                0.42645,                0.44093,                 1.0368,                0.71285,                0.54427,                0.60149,                0.36373,                 1.6892,                 1.9038,                 2.3464,             0.00022627,             0.00022627,             0.00022627
                    141,                0.43128,                0.43991,                 1.0307,                0.68838,                0.54336,                 0.6201,                0.35725,                 1.7754,                 1.8097,                 2.4564,             0.00022273,             0.00022273,             0.00022273
                    142,                0.42157,                0.42128,                 1.0292,                0.74029,                0.54345,                0.60563,                0.36802,                 1.7824,                 1.7941,                 2.4258,              0.0002192,              0.0002192,              0.0002192
                    143,                0.42777,                0.43968,                 1.0349,                0.77298,                0.45724,                0.60333,                0.36373,                 1.7614,                 1.9295,                 2.4672,             0.00021566,             0.00021566,             0.00021566
                    144,                0.42271,                  0.423,                 1.0297,                0.63621,                0.62112,                 0.6369,                0.37212,                  1.715,                 1.8173,                 2.3703,             0.00021213,             0.00021213,             0.00021213
                    145,                0.40903,                0.41355,                 1.0234,                0.69314,                0.57067,                  0.629,                0.37678,                 1.7196,                 1.9402,                 2.4373,              0.0002086,              0.0002086,              0.0002086
                    146,                0.41251,                0.40638,                 1.0257,                0.69568,                0.55335,                0.62958,                0.38574,                 1.7296,                 1.9486,                 2.4268,             0.00020506,             0.00020506,             0.00020506
                    147,                0.40625,                0.41059,                 1.0182,                0.79509,                0.57191,                 0.6493,                0.39147,                 1.7295,                 1.8068,                 2.4619,             0.00020153,             0.00020153,             0.00020153
                    148,                0.41317,                0.42534,                 1.0228,                0.70367,                0.57684,                0.64533,                0.37536,                  1.734,                 2.0398,                 2.4838,             0.00019799,             0.00019799,             0.00019799
                    149,                0.40237,                0.40899,                 1.0151,                0.67816,                0.61383,                0.64521,                0.38515,                 1.8235,                 1.9703,                 2.5748,             0.00019446,             0.00019446,             0.00019446
                    150,                0.39856,                0.39929,                 1.0116,                0.75391,                0.53583,                0.63401,                0.38901,                 1.7202,                 1.9414,                   2.42,             0.00019092,             0.00019092,             0.00019092
                    151,                0.40259,                0.39938,                 1.0216,                0.68213,                0.61194,                0.63382,                0.37988,                 1.7898,                 1.9649,                  2.479,             0.00018739,             0.00018739,             0.00018739
                    152,                0.39745,                0.38988,                 1.0117,                0.61123,                0.59335,                0.61551,                0.37156,                 1.7443,                 2.0392,                  2.451,             0.00018385,             0.00018385,             0.00018385
